Date,Description,URL
672,"Greek fire in Constantinople, Byzantine Empire: Greek fire, an incendiary weapon likely based on petroleum or naphtha, is invented by Kallinikos, a Lebanese Greek refugee from Baalbek, as described by Theophanes.[297] However, the historicity and exact chronology of this account is dubious,[298] and it could be that Kallinikos merely introduced an improved version of an established weapon.[299]",https://en.wikipedia.org/wiki/Greek_fire
7th century,"Banknote in Tang dynasty China: The banknote is first developed in China during the Tang and Song dynasties, starting in the 7th century. Its roots are in merchant receipts of deposit during the Tang Dynasty (618-907), as merchants and wholesalers desire to avoid the heavy bulk of copper coinage in large commercial transactions.[300][301][302]",https://en.wikipedia.org/wiki/Banknote
7th century,"Porcelain in Tang dynasty China: True porcelain is manufactured in northern China from roughly the beginning of the Tang Dynasty in the 7th century, while true porcelain was not manufactured in southern China until about 300 years later, during the early 10th century.[303]",https://en.wikipedia.org/wiki/Porcelain
9th century,"Gunpowder in Tang dynasty China: Gunpowder is, according to prevailing academic consensus, discovered in the 9th century by Chinese alchemists searching for an elixir of immortality.[304] Evidence of gunpowder's first use in China comes from the Five Dynasties and Ten Kingdoms period (618-907).[305] The earliest known recorded recipes for gunpowder are written by Zeng Gongliang, Ding Du, and Yang Weide in the Wujing Zongyao, a military manuscript compiled in 1044 during the Song Dynasty (960-1279).[306][307][308]",https://en.wikipedia.org/wiki/Gunpowder
9th century,Playing card in Tang Dynasty China[309][310][311][312][313],https://en.wikipedia.org/wiki/Playing_card
857 - 859,Degree-granting university in Morocco[314],https://en.wikipedia.org/wiki/University
10th century,"Fire lance in Song dynasty China, developed in the 10th century with a tube of first bamboo and later on metal that shot a weak gunpowder blast of flame and shrapnel, its earliest depiction is a painting found at Dunhuang.[315] Fire lance is the earliest firearm in the world and one of the earliest gunpowder weapons.[316][317]",https://en.wikipedia.org/wiki/Fire_lance
10th century,"Fireworks in Song dynasty China: Fireworks first appear in China during the Song Dynasty (960-1279), in the early age of gunpowder. Fireworks could be purchased from market vendors; these were made of sticks of bamboo packed with gunpowder.[318]",https://en.wikipedia.org/wiki/Fireworks
974,Fountain pen: invented at the request of al-Mu'izz li-Din Allah in Arab Egypt.[319],https://en.wikipedia.org/wiki/Fountain_pen
11th century,Early versions of the Bessemer process are developed in China.,https://en.wikipedia.org/wiki/Bessemer_process
11th century,Endless power-transmitting chain drive by Su Song for the development an astronomical clock (the Cosmic Engine)[320],https://en.wikipedia.org/wiki/Su_Song#The_endless_chain_drive
1088,"Movable type in Song dynasty China: The first record of a movable type system is in the Dream Pool Essays, which attributes the invention of the movable type to Bi Sheng.[321][322][323][324]",https://en.wikipedia.org/wiki/Movable_type
12th century,Ismail al-Jazari invents the elephant clock .[325],https://en.wikipedia.org/wiki/Ismail_al-Jazari
13th century,Rocket for military and recreational uses date back to at least 13th-century China.[326],https://en.wikipedia.org/wiki/Rocket
13th century,"The earliest form of mechanical escapement, the verge escapement in Europe.[327]",https://en.wikipedia.org/wiki/Mechanical_escapement
13th century,Buttons (combined with buttonholes) as a functional fastening for closing clothes appear first in Germany.[328],https://en.wikipedia.org/wiki/Button
